,Position,Player,Age,Conference,PPG,RPG,APG,BPG,SPG,GP,W%
173,G,Chris Paul 2019-20,34,West,16.4286,5.0,6.4762,0.119,1.5952,42.0,0.5476
174,G,Elfrid Payton 2019-20,25,East,8.4583,3.9583,5.7083,0.2917,1.4583,24.0,0.2619
175,G,Theo Pinson 2019-20,24,East,4.7083,1.875,1.9167,0.0833,0.4583,24.0,0.45
176,G,Shamorie Ponds 2019-20,21,East,2.25,0.25,0.5,0.25,0.0,4.0,0.6585
177,G,Jordan Poole 2019-20,20,West,7.3056,1.8889,1.9167,0.1944,0.6389,36.0,0.2093
178,G,Kevin Porter 2019-20,19,East,8.5,3.2941,1.9412,0.1765,0.8529,34.0,0.2857
179,G,Norman Powell 2019-20,26,East,15.3,3.8333,1.7333,0.4,1.1333,30.0,0.6585
180,G,Josh Reaves 2019-20,22,West,0.0,0.0,0.0,0.0,0.0,2.0,0.6429
181,G,J.J. Redick 2019-20,35,West,15.7895,2.8684,2.0,0.1579,0.3421,38.0,0.3721
182,G,Josh Richardson 2019-20,26,East,15.3143,3.4286,3.4571,0.6286,0.9714,35.0,0.6279
183,G,Austin Rivers 2019-20,27,West,7.6842,2.3158,1.6316,0.1579,0.5789,38.0,0.65
184,G,Duncan Robinson 2019-20,25,East,11.8049,3.2439,1.0732,0.2683,0.5366,41.0,0.7073
185,G,Glenn Robinson 2019-20,26,West,12.2857,4.8333,1.6429,0.2381,0.9524,42.0,0.2093
186,G,Jerome Robinson 2019-20,22,West,3.2571,1.5429,1.0286,0.2,0.2857,35.0,0.6977
187,G,Justin Robinson 2019-20,22,East,1.4444,0.5556,0.7778,0.1111,0.0,9.0,0.3171
188,G,Rajon Rondo 2019-20,33,West,7.5926,3.8148,5.4444,0.0741,0.9259,27.0,0.8049
189,G,Derrick Rose 2019-20,31,East,18.0833,2.3611,5.8333,0.3611,0.8056,36.0,0.3571
190,G,Terry Rozier 2019-20,25,East,18.25,4.2727,4.3864,0.1591,1.1591,44.0,0.3409
191,G,Ricky Rubio 2019-20,29,West,13.5882,4.7941,9.3824,0.2353,1.3529,34.0,0.4146
192,G,D'Angelo Russell 2019-20,23,West,23.08,3.48,6.16,0.32,0.88,25.0,0.2093
193,G,JaKarr Sampson 2019-20,26,East,4.9231,2.6154,0.3077,0.5385,0.4615,13.0,0.6429
194,G,Admiral Schofield 2019-20,22,East,3.4583,1.375,0.5833,0.125,0.2917,24.0,0.3171
195,G,Dennis Schröder 2019-20,26,West,18.3171,3.8293,3.7561,0.2439,0.6585,41.0,0.5476
196,G,Thabo Sefolosha 2019-20,35,West,1.96,2.16,0.64,0.16,0.4,25.0,0.65
197,G,Collin Sexton 2019-20,21,East,19.0,3.1667,2.3333,0.0952,0.9524,42.0,0.2857
198,G,Landry Shamet 2019-20,22,West,8.7308,2.1923,1.6154,0.1923,0.3846,26.0,0.6977
199,G,Iman Shumpert 2019-20,29,East,4.1538,2.6154,0.9231,0.1538,0.9231,13.0,0.45
200,G,Ben Simmons 2019-20,23,East,15.4146,7.6829,8.3902,0.6585,2.0976,41.0,0.6279
201,G,Anfernee Simons 2019-20,20,West,9.2093,2.6279,1.4651,0.1395,0.3953,43.0,0.4186
202,G,Marcus Smart 2019-20,25,East,11.7419,3.2258,4.6129,0.4516,1.5484,31.0,0.675
203,G,Dennis Smith 2019-20,22,East,5.1905,2.0952,2.7143,0.3333,0.4762,21.0,0.2619
204,G,Ish Smith 2019-20,31,East,11.1463,2.9756,4.6098,0.3659,0.8293,41.0,0.3171
205,G,Tony Snell 2019-20,28,East,7.9474,1.7632,1.4737,0.1579,0.4474,38.0,0.3571
206,G,Max Strus 2019-20,23,East,2.5,0.5,0.0,0.0,0.0,2.0,0.3488
207,G,Edmond Sumner 2019-20,24,East,5.0,1.6,1.7333,0.2667,0.7333,15.0,0.6429
208,G,Jeff Teague 2019-20,31,West,13.1765,2.5882,6.1176,0.3824,0.7353,34.0,0.3659
209,G,Garrett Temple 2019-20,33,East,10.5,3.4167,2.6111,0.4722,0.8611,36.0,0.45
210,G,Isaiah Thomas 2019-20,30,East,12.2188,1.4375,3.9688,0.1563,0.375,32.0,0.3171
211,G,Khyri Thomas 2019-20,23,East,0.5,0.0,0.0,0.0,0.0,2.0,0.3571
212,G,Matt Thomas 2019-20,25,East,5.125,1.375,0.4375,0.0,0.25,16.0,0.6585
213,G,Matisse Thybulle 2019-20,22,East,4.7143,1.4857,1.2286,0.8857,1.4286,35.0,0.6279
214,G,Gary Trent 2019-20,21,West,4.1667,1.3,0.6333,0.1667,0.4667,30.0,0.4186
215,G,Allonzo Trier 2019-20,24,East,6.3158,1.2632,1.2632,0.2105,0.1053,19.0,0.2619
216,G,Evan Turner 2019-20,31,East,3.3333,2.0,2.0,0.4444,0.4444,18.0,0.2381
217,G,Denzel Valentine 2019-20,26,East,6.0,1.8261,0.9565,0.2174,0.6087,23.0,0.3488
218,G,Fred VanVleet 2019-20,25,East,17.9677,3.871,7.0323,0.3871,1.9032,31.0,0.6585
219,G,Kemba Walker 2019-20,29,East,22.1389,4.0,4.9444,0.5833,0.8889,36.0,0.675
220,G,Lonnie Walker 2019-20,21,West,5.6875,2.0625,0.625,0.125,0.375,32.0,0.425
221,G,Tyrone Wallace 2019-20,25,East,2.8571,1.5714,0.9286,0.0714,0.5,14.0,0.2381
222,G,Derrick Walton 2019-20,24,West,2.2273,0.6818,0.9545,0.0,0.1818,22.0,0.6977
223,G,Brad Wanamaker 2019-20,30,East,6.4359,2.0769,2.7949,0.2564,0.641,39.0,0.675
224,G,Tremont Waters 2019-20,22,East,4.4,0.6,1.0,0.4,0.6,5.0,0.675
225,G,Paul Watson 2019-20,25,East,0.0,1.0,1.5,0.0,0.5,2.0,0.2381
226,G,Russell Westbrook 2019-20,31,West,24.7647,7.7941,7.1765,0.3529,1.5,34.0,0.65
227,G,Coby White 2019-20,19,East,11.3721,3.5349,2.2558,0.0698,0.7442,43.0,0.3488
228,G,Derrick White 2019-20,25,West,9.5263,2.9474,3.0263,0.7368,0.5526,38.0,0.425
229,G,Kenrich Williams 2019-20,25,West,3.7714,5.0857,1.5143,0.6,0.7143,35.0,0.3721
230,G,Lou Williams 2019-20,33,West,20.0,3.0,6.175,0.175,0.65,40.0,0.6977
231,G,Nigel Williams-Goss 2019-20,25,West,0.4444,0.5556,0.5556,0.1111,0.1111,9.0,0.6829
232,G,Delon Wright 2019-20,27,West,7.275,3.675,3.175,0.425,1.275,40.0,0.6429
233,G,Trae Young 2019-20,21,East,29.1842,4.5263,8.5,0.1316,1.1842,38.0,0.2381
234,F/C,Steven Adams 2019-20,26,West,11.7632,9.9737,2.6842,1.1579,0.7105,38.0,0.5476
235,F/C,Bam Adebayo 2019-20,22,East,15.9268,10.3659,4.6098,1.1951,1.2195,41.0,0.7073
236,F/C,LaMarcus Aldridge 2019-20,34,West,19.0526,7.5,2.3947,1.7105,0.5526,38.0,0.425
237,F/C,Jarrett Allen 2019-20,21,East,11.55,9.7,1.225,1.275,0.7,40.0,0.45
238,F/C,Al-Farouq Aminu 2019-20,29,East,4.3333,4.8333,1.1667,0.4444,1.0,18.0,0.4762
